(16000, 0.386)
(16100, 0.358)
(16200, 0.372)
(16300, 0.498)
(16400, 0.434)
(16500, 0.392)
(16600, 0.462)
(16700, 0.444)
(16800, 0.386)
(16900, 0.392)
(17000, 0.574)
(17100, 0.732)
(17200, 0.304)
(17300, 0.354)
(17400, 0.432)
(17500, 0.442)
(17600, 0.332)
(17700, 0.336)
(17800, 0.386)
(17900, 0.452)
(18000, 0.392)
(18100, 0.494)
(18200, 0.554)
(18300, 0.384)
(18400, 0.272)
(18500, 0.304)
(18600, 0.4)
(18700, 0.52)
(18800, 0.354)
(18900, 0.342)
(19000, 0.306)
(19100, 0.424)
(19200, 0.344)
(19300, 0.31)
(19400, 0.488)
(19500, 0.354)
(19600, 0.374)
(19700, 0.364)
(19800, 0.59)
(19900, 0.408)
(20000, 0.448)
(20100, 0.456)
(20200, 0.402)
(20300, 0.394)
(20400, 0.472)
(20500, 0.424)
(20600, 0.41)
(20700, 0.362)
(20800, 0.41)
(20900, 0.358)
(21000, 0.422)
(21100, 0.476)
(21200, 0.474)
(21300, 0.334)
(21400, 0.43)
(21500, 0.412)
(21600, 0.426)
(21700, 0.324)
(21800, 0.33)
(21900, 0.342)
(22000, 0.364)
(22100, 0.454)
(22200, 0.36)
(22300, 0.486)
(22400, 0.314)
(22500, 0.388)
(22600, 0.42)
(22700, 0.308)
(22800, 0.414)
(22900, 0.43)
(23000, 0.438)
(23100, 0.388)
(23200, 0.56)
(23300, 0.388)
(23400, 0.434)
(23500, 0.452)
(23600, 0.356)
(23700, 0.324)
(23800, 0.588)
(23900, 0.38)
(24000, 0.34)
(24100, 0.402)
(24200, 0.452)
(24300, 0.262)
(24400, 0.498)
(24500, 0.368)
(24600, 0.42)
(24700, 0.394)
(24800, 0.376)
(24900, 0.376)
(25000, 0.39)
(25100, 0.39)
(25200, 0.336)
(25300, 0.448)
(25400, 0.388)
(25500, 0.476)
(25600, 0.394)
(25700, 0.534)
(25800, 0.376)
(25900, 0.382)
(26000, 0.498)
(26100, 0.434)
(26200, 0.364)
(26300, 0.402)
(26400, 0.378)
(26500, 0.368)
(26600, 0.366)
(26700, 0.43)
(26800, 0.456)
(26900, 0.474)
(27000, 0.408)
(27100, 0.378)
(27200, 0.52)
(27300, 0.414)
(27400, 0.406)
(27500, 0.494)
(27600, 0.332)
(27700, 0.436)
(27800, 0.388)
(27900, 0.402)
(28000, 0.562)
(28100, 0.514)
(28200, 0.374)
(28300, 0.32)
(28400, 0.298)
(28500, 0.542)
(28600, 0.652)
(28700, 0.332)
(28800, 0.368)
(28900, 0.438)
(29000, 0.352)
(29100, 0.566)
(29200, 0.422)
(29300, 0.4)
(29400, 0.484)
(29500, 0.4)
(29600, 0.362)
(29700, 0.6)
(29800, 0.356)
(29900, 0.39)
(30000, 0.452)
(30100, 0.358)
(30200, 0.444)
(30300, 0.542)
(30400, 0.478)
(30500, 0.496)
(30600, 0.386)
(30700, 0.292)
(30800, 0.506)
(30900, 0.448)
(31000, 0.67)
(31100, 0.448)
(31200, 0.452)
(31300, 0.474)
(31400, 0.458)
(31500, 0.4)
(31600, 0.356)
(31700, 0.558)
(31800, 0.574)
(31900, 0.43)
(32000, 0.438)
(32100, 0.58)
(32200, 0.564)
(32300, 0.458)
(32400, 0.534)
(32500, 0.554)
(32600, 0.268)
(32700, 0.414)
(32800, 0.54)
(32900, 0.37)
(33000, 0.418)
(33100, 0.422)
(33200, 0.366)
(33300, 0.536)
(33400, 0.6)
(33500, 0.392)
(33600, 0.394)
(33700, 0.34)
(33800, 0.53)
(33900, 0.358)
(34000, 0.664)
(34100, 0.496)
(34200, 0.526)
(34300, 0.498)
(34400, 0.42)
(34500, 0.432)
(34600, 0.472)
(34700, 0.528)
(34800, 0.43)
(34900, 0.394)
(35000, 0.368)
(35100, 0.486)
(35200, 0.538)
(35300, 0.458)
(35400, 0.386)
(35500, 0.546)
(35600, 0.398)
(35700, 0.448)
(35800, 0.338)
(35900, 0.386)
(36000, 0.468)
(36100, 0.494)
(36200, 0.432)
(36300, 0.406)
(36400, 0.344)
(36500, 0.336)
(36600, 0.428)
(36700, 0.314)
(36800, 0.57)
(36900, 0.37)
(37000, 0.41)
(37100, 0.348)
(37200, 0.442)
(37300, 0.532)
(37400, 0.388)
(37500, 0.434)
(37600, 0.578)
(37700, 0.496)
(37800, 0.38)
(37900, 0.454)
(38000, 0.592)
(38100, 0.41)
(38200, 0.496)
(38300, 0.49)
(38400, 0.362)
(38500, 0.516)
(38600, 0.542)
(38700, 0.546)
(38800, 0.468)
(38900, 0.854)
(39000, 0.5)
(39100, 0.466)
(39200, 0.674)
(39300, 0.412)
(39400, 0.378)
(39500, 0.464)
(39600, 0.546)
(39700, 0.404)
(39800, 0.376)
(39900, 0.544)
(40000, 0.398)
(40100, 0.472)
(40200, 0.35)
(40300, 0.408)
(40400, 0.538)
(40500, 0.47)
(40600, 0.358)
(40700, 0.598)
(40800, 0.328)
(40900, 0.668)
(41000, 0.564)
(41100, 0.48)
(41200, 0.486)
(41300, 0.332)
(41400, 0.452)
(41500, 0.398)
(41600, 0.364)
(41700, 0.428)
(41800, 0.378)
(41900, 0.456)
(42000, 0.736)
(42100, 0.364)
(42200, 0.45)
(42300, 0.354)
(42400, 0.49)
(42500, 0.422)
(42600, 0.45)
(42700, 0.548)
(42800, 0.528)
(42900, 0.374)
(43000, 0.348)
